system:index,mean,.geo
20200101T00_0,3.3408402373424906E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T01_0,8.586794137954712E-7,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T02_0,1.4942139387130737E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T03_0,1.9107013940811157E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T04_0,2.8342008590698242E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T05_0,4.331767559051514E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T06_0,6.902217864990234E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T07_0,9.687989950180054E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T08_0,9.770691394805908E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T09_0,9.770691394805908E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T10_0,9.856373071670532E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T11_0,1.0130554437637329E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T12_0,1.0482966899871826E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T13_0,1.1083483695983887E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T14_0,1.1873245239257812E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T15_0,1.2642145156860352E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T16_0,1.3566017150878906E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T17_0,1.5348196029663086E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T18_0,1.983970402648083E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T19_0,4.673033951689831E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T20_0,6.686359643026663E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T21_0,8.924245834123212E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T22_0,0.0011099666356813032,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200101T23_0,0.001333832740726848,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T00_0,0.001489648222843698,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T01_0,1.7504394054412842E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T02_0,3.47677618265152E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T03_0,3.8777291774749756E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T04_0,4.1607022285461426E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T05_0,4.4611096382141113E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T06_0,4.4946372509002686E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T07_0,4.6524703492423214E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T08_0,4.694938658644787E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T09_0,4.712074994017712E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T10_0,4.7481358041068233E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T11_0,4.78270649807655E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T12_0,4.79641556637489E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T13_0,4.834264515807263E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T14_0,4.896849392821423E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T15_0,5.329132079054943E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T16_0,5.579620598723523E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T17_0,5.684375761916272E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T18_0,5.701363085677258E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T19_0,5.709111689498059E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T20_0,5.71686029331886E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T21_0,5.749344824721447E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T22_0,5.906999110152356E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200102T23_0,5.976140498091809E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T00_0,6.152570246626965E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T01_0,2.72504985332489E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T02_0,7.29784369468689E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T03_0,8.158385753631592E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T04_0,8.158385753631592E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T05_0,8.158385753631592E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T06_0,8.158385753631592E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T07_0,2.4033635844489254E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T08_0,4.3656527986968285E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T09_0,4.454016684576345E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T10_0,5.048573016210867E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T11_0,6.117433308645559E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T12_0,6.540328263326955E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T13_0,6.763696669622732E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T14_0,7.322937249227834E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T15_0,9.695053099676443E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T16_0,0.0011617898940130544,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T17_0,0.0012114703654333425,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T18_0,0.0012253284453436208,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T19_0,0.0012510776518865896,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T20_0,0.0012760221957250906,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T21_0,0.0012846350668951345,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T22_0,0.0012863636015936208,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T23_0,0.001287227868942864,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T00_0,0.001287227868942864,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T01_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T02_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T03_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T04_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T05_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T06_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T07_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T08_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T09_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T10_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T11_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T12_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T13_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T14_0,8.183717625342979E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
