system:index,date,lake_bottom_temperature,.geo
19800101,1980-01-01,2.1840380530769205E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800102,1980-01-02,2.1827443278098452E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800103,1980-01-03,2.180998531306492E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800104,1980-01-04,2.18140012746961E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800105,1980-01-05,2.18241913009725E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800106,1980-01-06,2.1828301027688885E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800107,1980-01-07,2.18322877945903E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800108,1980-01-08,2.1832187139641142E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800109,1980-01-09,2.1828989515141737E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800110,1980-01-10,2.1824794886683306E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800111,1980-01-11,2.180263296024117E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800112,1980-01-12,2.1772220983886325E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800113,1980-01-13,2.1749138169319153E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800114,1980-01-14,2.1741041502390712E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800115,1980-01-15,2.1737474612449455E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800116,1980-01-16,2.172906251353767E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800117,1980-01-17,2.1721720914079356E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800118,1980-01-18,2.1718876138668E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800119,1980-01-19,2.1717825135355973E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800120,1980-01-20,2.1717773883372158E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800121,1980-01-21,2.1722377855214965E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800122,1980-01-22,2.1730810432725734E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800123,1980-01-23,2.173964456883223E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800124,1980-01-24,2.1750936904564023E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800125,1980-01-25,2.175665578479639E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800126,1980-01-26,2.1758937197585112E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800127,1980-01-27,2.1751879642272046E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800128,1980-01-28,2.1741759098197103E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800129,1980-01-29,2.1741000630832183E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800130,1980-01-30,2.1757670406602103E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800131,1980-01-31,2.179228129282058E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800201,1980-02-01,2.1808651347798574E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800202,1980-02-02,2.1817309540474802E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800203,1980-02-03,2.1832080746581265E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800204,1980-02-04,2.186573236248994E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800205,1980-02-05,2.189324179493929E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800206,1980-02-06,2.19041478375108E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800207,1980-02-07,2.190691126358137E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800208,1980-02-08,2.190935629067369E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800209,1980-02-09,2.191850196709109E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800210,1980-02-10,2.193032920534939E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800211,1980-02-11,2.192522068138073E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800212,1980-02-12,2.1920365568231273E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800213,1980-02-13,2.1916966924843454E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800214,1980-02-14,2.1920325687239462E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800215,1980-02-15,2.192261672311834E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800216,1980-02-16,2.1927653540708327E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800217,1980-02-17,2.193151005101674E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800218,1980-02-18,2.1928681052948916E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800219,1980-02-19,2.1924057259573668E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800220,1980-02-20,2.1924110379365647E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800221,1980-02-21,2.1925905725189784E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800222,1980-02-22,2.193040271141311E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800223,1980-02-23,2.1933630392564887E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800224,1980-02-24,2.1932839079492298E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800225,1980-02-25,2.1930179213979492E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800226,1980-02-26,2.193158246957069E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800227,1980-02-27,2.1933467031182668E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800228,1980-02-28,2.1928622251071322E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800229,1980-02-29,2.1921324219422126E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800301,1980-03-01,2.1918694619322407E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800302,1980-03-02,2.1921778926903117E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800303,1980-03-03,2.1922813021883035E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800304,1980-03-04,2.1911576346404526E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800305,1980-03-05,2.1906258744058868E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800306,1980-03-06,2.1917840938897914E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800307,1980-03-07,2.1932965339668852E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800308,1980-03-08,2.1935225983767068E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800309,1980-03-09,2.1937405380498412E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800310,1980-03-10,2.1939368791225916E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800311,1980-03-11,2.194014468899594E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800312,1980-03-12,2.194273455350609E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800313,1980-03-13,2.194732475796141E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800314,1980-03-14,2.193403733404099E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800315,1980-03-15,2.1925041049735588E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800316,1980-03-16,2.1921810316779476E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800317,1980-03-17,2.192231545288592E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800318,1980-03-18,2.1928099088971063E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800319,1980-03-19,2.1940269466702873E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800320,1980-03-20,2.1943748931685495E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800321,1980-03-21,2.1936052946148247E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800322,1980-03-22,2.193420548349021E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800323,1980-03-23,2.1933705247838676E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800324,1980-03-24,2.1943698634910432E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800325,1980-03-25,2.1957371743415132E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800326,1980-03-26,2.1964375323497385E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800327,1980-03-27,2.1997297747444993E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800328,1980-03-28,2.2035726191358215E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800329,1980-03-29,2.204451325187902E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800330,1980-03-30,2.20424266104819E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800331,1980-03-31,2.2052099454139888E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800401,1980-04-01,2.207669425275785E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800402,1980-04-02,2.2085609257823077E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800403,1980-04-03,2.207745431455459E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800404,1980-04-04,2.206014925583532E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800405,1980-04-05,2.2041127525430512E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800406,1980-04-06,2.2028445791838974E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800407,1980-04-07,2.202532701899854E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800408,1980-04-08,2.203242996694553E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800409,1980-04-09,2.2025084495753986E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800410,1980-04-10,2.202331476897862E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800411,1980-04-11,2.2034523196325E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800412,1980-04-12,2.2051592382496196E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
