system:index,date,surface_net_solar_radiation_sum,.geo
19800101,1980-01-01,1.8435794863379236E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800102,1980-01-02,2.7747348922101797E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800103,1980-01-03,2.488667772274577E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800104,1980-01-04,1.5938473395731343E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800105,1980-01-05,2.1148877732633289E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800106,1980-01-06,2.290139582549586E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800107,1980-01-07,2.1972046437571445E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800108,1980-01-08,2.1045594465982092E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800109,1980-01-09,1.8362207481079414E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800110,1980-01-10,2.1901347800241426E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800111,1980-01-11,2.5218764230030684E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800112,1980-01-12,3.113171763762211E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800113,1980-01-13,4.046591064340842E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800114,1980-01-14,3.6517427809816753E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800115,1980-01-15,3.1640647547752485E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800116,1980-01-16,3.43903706974917E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800117,1980-01-17,3.5255889120099854E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800118,1980-01-18,3.040372262241867E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800119,1980-01-19,3.2204399911332017E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800120,1980-01-20,2.863455047096667E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800121,1980-01-21,2.1871487957537905E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800122,1980-01-22,2.38821046150718E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800123,1980-01-23,2.481712046872832E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800124,1980-01-24,2.518154796140175E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800125,1980-01-25,2.9733412037671577E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
