system:index,date,soil_temperature_level_1,.geo
19800101,1980-01-01,2.1721999812881702E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800102,1980-01-02,2.167387908231899E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800103,1980-01-03,2.163417659206965E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800104,1980-01-04,2.176742796672131E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800105,1980-01-05,2.1834832063948175E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800106,1980-01-06,2.1846152553570992E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800107,1980-01-07,2.1846387884710392E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800108,1980-01-08,2.1807395314455718E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800109,1980-01-09,2.178961712119748E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800110,1980-01-10,2.1780163676429987E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800111,1980-01-11,2.165960736570887E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800112,1980-01-12,2.158619032349215E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800113,1980-01-13,2.154237944947871E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800114,1980-01-14,2.1520780500469038E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800115,1980-01-15,2.1531671417609924E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800116,1980-01-16,2.1531855819277608E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800117,1980-01-17,2.1528785323722756E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800118,1980-01-18,2.1531969199492347E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800119,1980-01-19,2.1564348697470438E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800120,1980-01-20,2.1614082134359783E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800121,1980-01-21,2.169436210508445E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800122,1980-01-22,2.177524052827681E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800123,1980-01-23,2.1800905291542447E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800124,1980-01-24,2.1890817860859782E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800125,1980-01-25,2.1853818248272485E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800126,1980-01-26,2.1804502520580703E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800127,1980-01-27,2.1708387247603285E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800128,1980-01-28,2.1661050054931894E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800129,1980-01-29,2.1727749840161154E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800130,1980-01-30,2.1918869722285038E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800131,1980-01-31,2.2014937334615713E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800201,1980-02-01,2.192645638538981E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800202,1980-02-02,2.193688707759182E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800203,1980-02-03,2.19904705745234E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
