system:index,date,surface_pressure,.geo
19800101,1980-01-01,7.663091020202917E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800102,1980-01-02,7.728617626633788E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800103,1980-01-03,7.754358845896251E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800104,1980-01-04,7.693600562950128E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800105,1980-01-05,7.68115152151269E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800106,1980-01-06,7.698790873229643E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800107,1980-01-07,7.704999617764067E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800108,1980-01-08,7.71610497057478E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800109,1980-01-09,7.708905278057242E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800110,1980-01-10,7.733678508102614E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800111,1980-01-11,7.798405046487933E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800112,1980-01-12,7.807197067906857E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800113,1980-01-13,7.79610085971244E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800114,1980-01-14,7.729423760284329E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800115,1980-01-15,7.637013618757193E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800116,1980-01-16,7.639746740566188E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800117,1980-01-17,7.658607130789378E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800118,1980-01-18,7.64918432352484E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800119,1980-01-19,7.63966186262993E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800120,1980-01-20,7.656054441643077E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800121,1980-01-21,7.636045609286014E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800122,1980-01-22,7.620388236071779E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800123,1980-01-23,7.618637131172508E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800124,1980-01-24,7.629758995743028E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800125,1980-01-25,7.70961012696784E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800126,1980-01-26,7.734297222610327E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800127,1980-01-27,7.771363046355411E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800128,1980-01-28,7.755243720422418E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800129,1980-01-29,7.730194153269421E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800130,1980-01-30,7.684989859305466E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800131,1980-01-31,7.584003211481906E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800201,1980-02-01,7.673119898113144E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800202,1980-02-02,7.685250451895404E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800203,1980-02-03,7.700920035590009E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800204,1980-02-04,7.67351467927912E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800205,1980-02-05,7.673947866112024E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800206,1980-02-06,7.6722653685647E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
