system:index,date,total_precipitation_sum,.geo
19800101,1980-01-01,3552.9971624021896,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800102,1980-01-02,1443.4806506013097,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800103,1980-01-03,1393.913543849617,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800104,1980-01-04,3007.018750983646,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800105,1980-01-05,3368.9515328028747,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800106,1980-01-06,1754.9410513221242,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800107,1980-01-07,1408.3618975314157,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800108,1980-01-08,903.6866435400275,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800109,1980-01-09,1508.2908774790699,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800110,1980-01-10,1462.7449271497,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800111,1980-01-11,483.8386603239677,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800112,1980-01-12,156.11626919166645,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800113,1980-01-13,147.78295779436078,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800114,1980-01-14,499.9097592784953,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800115,1980-01-15,1190.0909472185283,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800116,1980-01-16,166.41256849555458,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800117,1980-01-17,325.23422791563644,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800118,1980-01-18,1716.2255759603984,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800119,1980-01-19,1517.012433754658,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800120,1980-01-20,1807.8320448409113,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800121,1980-01-21,6509.303449717641,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800122,1980-01-22,5864.187177547694,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800123,1980-01-23,5021.342746477119,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800124,1980-01-24,4973.593909172827,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800125,1980-01-25,731.757000743158,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800126,1980-01-26,301.528282428353,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800127,1980-01-27,58.310589223090545,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800128,1980-01-28,65.89569314466978,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800129,1980-01-29,110.45977356463095,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800130,1980-01-30,2835.36588538673,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800131,1980-01-31,8783.455128538417,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800201,1980-02-01,2758.01135847604,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800202,1980-02-02,5405.326293888025,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800203,1980-02-03,7941.546755774107,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800204,1980-02-04,7554.251292786679,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800205,1980-02-05,2534.37172382201,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800206,1980-02-06,2934.322679074627,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800207,1980-02-07,1515.916723969227,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800208,1980-02-08,13.07832395151988,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800209,1980-02-09,1317.274467528267,"{""type"":""MultiPoint"",""coordinates"":[]}"
