system:index,date,u_component_of_wind_10m,.geo
19800101,1980-01-01,490053.68408617633,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800102,1980-01-02,1151719.9274464487,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800103,1980-01-03,605738.2191734777,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800104,1980-01-04,1026166.0007099241,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800105,1980-01-05,2043565.713160116,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800106,1980-01-06,2025200.1374395844,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800107,1980-01-07,933689.8290963591,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800108,1980-01-08,-995578.2820412215,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800109,1980-01-09,-832057.6306856272,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800110,1980-01-10,-871216.5806662953,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800111,1980-01-11,-732472.8309056023,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800112,1980-01-12,-1188915.2665959308,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800113,1980-01-13,-1138263.3289037247,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800114,1980-01-14,-227433.8080036284,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800115,1980-01-15,-690535.8669373528,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800116,1980-01-16,-1062022.848675089,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800117,1980-01-17,-1290579.4641470402,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800118,1980-01-18,-708848.6541295777,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800119,1980-01-19,-533110.4184496929,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800120,1980-01-20,306568.6880543871,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800121,1980-01-21,1014764.0968983191,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800122,1980-01-22,1931023.036576308,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800123,1980-01-23,1297337.9845066573,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800124,1980-01-24,1084018.9564336485,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800125,1980-01-25,529116.3429395772,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800126,1980-01-26,-751822.7780863611,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800127,1980-01-27,-1005903.1175235375,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800128,1980-01-28,-1136107.7934474736,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800129,1980-01-29,2992.338037515401,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800130,1980-01-30,814221.5934221888,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800131,1980-01-31,2707078.1720088185,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800201,1980-02-01,2454006.612406973,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800202,1980-02-02,2554167.5658070673,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800203,1980-02-03,3306060.885318945,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800204,1980-02-04,3116530.303278313,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800205,1980-02-05,3892271.7280811165,"{""type"":""MultiPoint"",""coordinates"":[]}"
