system:index,date,evaporation_from_open_water_surfaces_excluding_oceans_sum,.geo
19800101,1980-01-01,-12.93671270949841,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800102,1980-01-02,-28.4691555398626,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800103,1980-01-03,-32.058127798034164,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800104,1980-01-04,8.863116827190858,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800105,1980-01-05,10.41684230755034,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800106,1980-01-06,-5.411137788187643,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800107,1980-01-07,-11.166981169680032,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800108,1980-01-08,-17.84147207216337,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800109,1980-01-09,-15.683706122021428,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800110,1980-01-10,-34.531975992801875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800111,1980-01-11,-84.64121419184391,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800112,1980-01-12,-83.7811001179629,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800113,1980-01-13,-51.108447161262106,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800114,1980-01-14,-24.917894287774462,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800115,1980-01-15,-26.74797266237801,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800116,1980-01-16,-40.55800112087425,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800117,1980-01-17,-32.675333415594565,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800118,1980-01-18,-20.32955859698281,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800119,1980-01-19,-16.297007066873363,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800120,1980-01-20,14.23949651873363,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800121,1980-01-21,-13.64084438433797,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800122,1980-01-22,-23.27881382081442,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800123,1980-01-23,-10.314786370805322,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800124,1980-01-24,-11.938514712286695,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800125,1980-01-25,-19.909106700315917,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800126,1980-01-26,-57.1715567182439,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800127,1980-01-27,-73.60716169244952,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800128,1980-01-28,-63.096882596632064,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800129,1980-01-29,-37.66698565519063,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800130,1980-01-30,-10.852783259212535,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800131,1980-01-31,-53.07216615509416,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800201,1980-02-01,-61.868844298753494,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800202,1980-02-02,-36.68667006956087,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800203,1980-02-03,-35.92428216519674,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800204,1980-02-04,-17.989978558409426,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800205,1980-02-05,-91.50502225671562,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800206,1980-02-06,-77.00726849418135,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800207,1980-02-07,-91.64912005127131,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800208,1980-02-08,-104.09787786639126,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800209,1980-02-09,-119.4588470534113,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800210,1980-02-10,-39.3615768024661,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800211,1980-02-11,-68.52852816936533,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800212,1980-02-12,-80.14882469160818,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800213,1980-02-13,-72.3990595613808,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800214,1980-02-14,-51.367129803454425,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800215,1980-02-15,-77.86877190005225,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800216,1980-02-16,-48.79115946609712,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800217,1980-02-17,-72.0962542389026,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800218,1980-02-18,-126.57191399777429,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800219,1980-02-19,-132.10407057707656,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800220,1980-02-20,-137.11903497220464,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800221,1980-02-21,-135.42739606567926,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800222,1980-02-22,-80.33680672284561,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800223,1980-02-23,-42.32562949397578,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800224,1980-02-24,-37.25073120926013,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800225,1980-02-25,-60.232985011064535,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800226,1980-02-26,-82.03358492818208,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800227,1980-02-27,-110.96449793745577,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800228,1980-02-28,-135.8482629169345,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800229,1980-02-29,-123.67867652629418,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800301,1980-03-01,-120.43147497569012,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800302,1980-03-02,-102.93023663025674,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800303,1980-03-03,-135.2527732530041,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800304,1980-03-04,-151.7044081391255,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800305,1980-03-05,-128.1516718592804,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800306,1980-03-06,-32.48351757062558,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800307,1980-03-07,-132.42652177541686,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800308,1980-03-08,-71.47826714421277,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800309,1980-03-09,-86.77428703577276,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800310,1980-03-10,-81.73728901957185,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800311,1980-03-11,-89.54410166784616,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800312,1980-03-12,-71.68546994733347,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800313,1980-03-13,-40.84895462632624,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800314,1980-03-14,-86.18650073499855,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800315,1980-03-15,-81.57334787400953,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800316,1980-03-16,-96.00731140063071,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800317,1980-03-17,-97.14489042308267,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800318,1980-03-18,-126.56116509510387,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800319,1980-03-19,-120.04517455502757,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800320,1980-03-20,-76.75908305243611,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800321,1980-03-21,-92.70118319921602,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800322,1980-03-22,-96.72471243586294,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800323,1980-03-23,-145.39407734835507,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800324,1980-03-24,-165.82563529062605,"{""type"":""MultiPoint"",""coordinates"":[]}"
