system:index,date,temperature_2m,.geo
19800101,1980-01-01,2.1571134459797287E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800102,1980-01-02,2.1476638082098287E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800103,1980-01-03,2.1444537147469997E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800104,1980-01-04,2.180740845634303E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800105,1980-01-05,2.184879352427414E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800106,1980-01-06,2.183184031238452E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800107,1980-01-07,2.18146901063263E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800108,1980-01-08,2.1730406418746865E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800109,1980-01-09,2.1727955846462256E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800110,1980-01-10,2.170065120146209E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800111,1980-01-11,2.143418609958939E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800112,1980-01-12,2.1303132988871616E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800113,1980-01-13,2.12702479951462E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800114,1980-01-14,2.1336226189016116E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800115,1980-01-15,2.140435297011155E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800116,1980-01-16,2.137784399494422E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800117,1980-01-17,2.1383110433926636E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800118,1980-01-18,2.1423168609841985E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800119,1980-01-19,2.1559392767397738E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800120,1980-01-20,2.166452175836996E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800121,1980-01-21,2.1806940369756675E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800122,1980-01-22,2.189071697186923E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800123,1980-01-23,2.1880492803242835E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800124,1980-01-24,2.2007977412086496E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800125,1980-01-25,2.1868494600907373E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800126,1980-01-26,2.1770690108567333E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800127,1980-01-27,2.1608117335772157E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800128,1980-01-28,2.1627506181276566E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800129,1980-01-29,2.1805723540600944E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800130,1980-01-30,2.2068076541649166E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800131,1980-01-31,2.2132602268387717E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
